cohort,split,filename,image_path,expected,result,confidence,strict_correct,roi_count,ocr_token_count,elapsed_ms,reason,regions_json,distance_to_suspicious,distance_to_tampered
independent,train,5.png,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/5.png,正常,正常,0.23515745455989703,True,1,40,2196.7,缺少EXIF且图像结构异常(疑似生成图),"[{""result"": ""正常"", ""confidence"": 0.23515745455989703, ""bbox"": [140, 210, 68, 12], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 1, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [140, 210, 208, 222], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}]",-0.314843,-0.414843
independent,train,p (29).jpg,/home/quyu/PD_new/PD_max/app/ai_detection/images/tampered/p (29).jpg,篡改,篡改,0.66,True,2,11,490.7,全局UI布局异常,"[{""result"": ""篡改"", ""confidence"": 0.66, ""bbox"": [365, 205, 325, 45], ""reason"": ""全局UI布局异常"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 2, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [365, 205, 690, 250], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}, {""result"": ""篡改"", ""confidence"": 0.66, ""bbox"": [72, 204, 280, 46], ""reason"": ""全局UI布局异常"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 2, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [72, 204, 352, 250], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 2}]",0.11,0.01
independent,train,no (6).jpg,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/no (6).jpg,正常,正常,0.0976359737046843,True,1,48,1840.9,未检出明显篡改痕迹,"[{""result"": ""正常"", ""confidence"": 0.0976359737046843, ""bbox"": [389, 982, 106, 24], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 1, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [389, 982, 495, 1006], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}]",-0.452364,-0.552364
independent,train,no (7).jpg,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/no (7).jpg,正常,正常,0.0976359737046843,True,1,48,1779.2,未检出明显篡改痕迹,"[{""result"": ""正常"", ""confidence"": 0.0976359737046843, ""bbox"": [389, 982, 106, 24], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 1, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [389, 982, 495, 1006], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}]",-0.452364,-0.552364
independent,train,45.jpg,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/45.jpg,正常,正常,0.46150506333517893,True,6,37,1302.4,存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.07440239367442986, ""bbox"": [396, 547, 508, 120], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [396, 547, 904, 667], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.4177406428099405, ""bbox"": [595, 1476, 457, 47], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [595, 1476, 1052, 1523], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.46049219522787066, ""bbox"": [833, 1290, 219, 50], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [833, 1290, 1052, 1340], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 3}, {""result"": ""正常"", ""confidence"": 0.45542418478098856, ""bbox"": [908, 1004, 146, 59], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [908, 1004, 1054, 1063], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 4}, {""result"": ""正常"", ""confidence"": 0.07245297917788646, ""bbox"": [158, 1706, 186, 45], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [158, 1706, 344, 1751], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 5}, {""result"": ""正常"", ""confidence"": 0.46150506333517893, ""bbox"": [953, 819, 95, 58], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 6, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [953, 819, 1048, 877], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 6}]",-0.088495,-0.188495
independent,train,47.jpg,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/47.jpg,正常,正常,0.461477232548848,True,5,37,1146.8,存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.07763291782874325, ""bbox"": [407, 550, 564, 116], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [407, 550, 971, 666], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.4029408061067433, ""bbox"": [610, 1474, 442, 49], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [610, 1474, 1052, 1523], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.3946770618525934, ""bbox"": [841, 1290, 211, 50], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [841, 1290, 1052, 1340], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 3}, {""result"": ""正常"", ""confidence"": 0.4601013277105846, ""bbox"": [952, 1004, 97, 60], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [952, 1004, 1049, 1064], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 4}, {""result"": ""正常"", ""confidence"": 0.461477232548848, ""bbox"": [953, 819, 95, 58], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [953, 819, 1048, 877], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 5}]",-0.088523,-0.188523
independent,train,38.png,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/38.png,正常,正常,0.489886341270949,True,5,40,1456.0,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.1600835999461973, ""bbox"": [110, 298, 189, 19], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.2361, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [110, 298, 299, 317], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.12647949908448117, ""bbox"": [871, 70, 154, 17], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.2361, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [871, 70, 1025, 87], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.0, ""bbox"": [245, 337, 128, 19], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.2361, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [245, 337, 373, 356], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 3}, {""result"": ""正常"", ""confidence"": 0.489886341270949, ""bbox"": [540, 204, 49, 19], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.2361, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [540, 204, 589, 223], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 4}, {""result"": ""正常"", ""confidence"": 0.11605274140865955, ""bbox"": [246, 300, 53, 16], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.2361, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [246, 300, 299, 316], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 5}]",-0.060114,-0.160114
independent,train,41.png,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/41.png,正常,正常,0.49108964072231603,True,5,39,1310.9,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.16458351080228925, ""bbox"": [113, 298, 201, 20], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.3119, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [113, 298, 314, 318], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.0, ""bbox"": [248, 337, 189, 20], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.3119, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [248, 337, 437, 357], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.191599436929031, ""bbox"": [873, 70, 153, 17], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.3119, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [873, 70, 1026, 87], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 3}, {""result"": ""正常"", ""confidence"": 0.1832277341417719, ""bbox"": [248, 299, 66, 19], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)"", ""bbox_overlap_check"": {""max_iou"": 0.3119, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [248, 299, 314, 318], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 4}, {""result"": ""正常"", ""confidence"": 0.49108964072231603, ""bbox"": [542, 204, 49, 18], ""reason"": ""缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.3119, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 5, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [542, 204, 591, 222], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 5}]",-0.05891,-0.15891
independent,validation,25.png,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/25.png,正常,正常,0.45139298873438427,True,3,25,881.3,存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.0, ""bbox"": [879, 89, 233, 179], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [879, 89, 1112, 268], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.3706105423017112, ""bbox"": [874, 751, 284, 55], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [874, 751, 1158, 806], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.45139298873438427, ""bbox"": [1016, 460, 140, 54], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [1016, 460, 1156, 514], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 3}]",-0.098607,-0.198607
independent,validation,26.png,/home/quyu/PD_new/PD_max/app/ai_detection/images/normal/26.png,正常,正常,0.456977646748936,True,3,24,926.9,存在局部边缘拼接/像素涂抹痕迹,"[{""result"": ""正常"", ""confidence"": 0.0, ""bbox"": [879, 89, 233, 179], ""reason"": ""未检出明显篡改痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [879, 89, 1112, 268], ""field_type"": ""time"", ""field_label"": ""时间"", ""region_no"": 1}, {""result"": ""正常"", ""confidence"": 0.39376086092041396, ""bbox"": [965, 753, 192, 48], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [965, 753, 1157, 801], ""field_type"": ""amount"", ""field_label"": ""金额"", ""region_no"": 2}, {""result"": ""正常"", ""confidence"": 0.456977646748936, ""bbox"": [1061, 461, 92, 53], ""reason"": ""存在局部边缘拼接/像素涂抹痕迹"", ""bbox_overlap_check"": {""max_iou"": 0.0, ""risk_max_iou"": 0.0, ""overlapping_pairs"": [], ""box_count"": 3, ""anomalies"": []}, ""hard_tamper_flags"": {""bbox_iou"": false}, ""original_bbox"": [1061, 461, 1153, 514], ""field_type"": ""name"", ""field_label"": ""姓名"", ""region_no"": 3}]",-0.093022,-0.193022
