cohort,split,filename,expected,result,confidence,strict_correct,roi_count,ocr_token_count,elapsed_ms,reason
independent,train,5.png,正常,正常,0.23515745455989703,True,1,40,2476.8,缺少EXIF且图像结构异常(疑似生成图)
independent,train,p (29).jpg,篡改,篡改,0.66,True,2,11,431.9,全局UI布局异常
independent,train,no (6).jpg,正常,正常,0.0976359737046843,True,1,48,1535.0,未检出明显篡改痕迹
independent,train,no (7).jpg,正常,正常,0.0976359737046843,True,1,48,1651.6,未检出明显篡改痕迹
independent,train,45.jpg,正常,正常,0.46150506333517893,True,6,37,1354.1,存在局部边缘拼接/像素涂抹痕迹
independent,train,47.jpg,正常,正常,0.461477232548848,True,5,37,1194.4,存在局部边缘拼接/像素涂抹痕迹
independent,train,38.png,正常,正常,0.489886341270949,True,5,40,1272.9,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹
independent,train,41.png,正常,正常,0.49108964072231603,True,5,39,1212.9,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹
independent,validation,25.png,正常,正常,0.45139298873438427,True,3,25,859.9,存在局部边缘拼接/像素涂抹痕迹
independent,validation,26.png,正常,正常,0.456977646748936,True,3,24,887.4,存在局部边缘拼接/像素涂抹痕迹
independent,validation,27.png,正常,正常,0.456977646748936,True,3,24,847.8,存在局部边缘拼接/像素涂抹痕迹
independent,validation,28.png,正常,正常,0.456977646748936,True,3,24,862.5,存在局部边缘拼接/像素涂抹痕迹
independent,validation,29.png,正常,正常,0.456977646748936,True,3,25,945.2,存在局部边缘拼接/像素涂抹痕迹
independent,validation,4.jpg,正常,正常,0.45873356088360484,True,3,25,816.9,存在局部边缘拼接/像素涂抹痕迹
independent,train,p (40).jpg,篡改,篡改,0.66,True,4,37,1001.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,37.png,正常,正常,0.47486410383826677,True,5,54,1391.3,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹
independent,train,43.png,正常,正常,0.5063591527938842,True,5,59,1540.6,缺少EXIF且图像结构异常(疑似生成图)；存在局部边缘拼接/像素涂抹痕迹
independent,train,7.jpg,正常,正常,0.4515148933922381,True,6,30,1170.8,存在局部边缘拼接/像素涂抹痕迹
independent,train,40.png,正常,正常,0.13601282193290734,True,6,45,1224.5,未检出明显篡改痕迹
independent,test,1.png,正常,正常,0.0,True,1,42,1465.4,未检出明显篡改痕迹
independent,train,p (30).jpg,篡改,篡改,0.6610813006209465,True,2,28,809.1,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,no (10).jpg,正常,正常,0.2075878804932531,True,2,57,1621.1,未检出明显篡改痕迹
independent,train,no (2).jpg,正常,正常,0.20585839064107606,True,3,64,1870.6,未检出明显篡改痕迹
independent,train,no (9).jpg,正常,正常,0.2075878804932531,True,2,57,1566.5,未检出明显篡改痕迹
independent,validation,3.jpg,正常,正常,0.42713177488343285,True,3,28,830.9,存在局部边缘拼接/像素涂抹痕迹
independent,train,p (4).jpg,篡改,篡改,0.66,True,6,37,1650.3,全局UI布局异常；局部字体风格异常
independent,test,13.jpg,正常,正常,0.4116034360939976,True,6,30,1230.3,存在局部边缘拼接/像素涂抹痕迹
independent,validation,p (13).jpg,篡改,篡改,0.6982736801909492,True,6,32,1267.3,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,validation,p (31).jpg,篡改,篡改,0.7247124670907541,True,6,31,1202.5,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,no (4).jpg,正常,正常,0.44163929804732593,True,2,23,613.7,存在局部边缘拼接/像素涂抹痕迹
independent,test,10.png,正常,正常,0.13223191046152022,True,3,37,2593.1,缺少EXIF且图像结构异常(疑似生成图)
independent,test,16.png,正常,正常,0.11150899651295544,True,2,39,2545.6,缺少EXIF且图像结构异常(疑似生成图)
independent,test,2.png,正常,正常,0.17587885421409113,True,3,39,2141.9,缺少EXIF且图像结构异常(疑似生成图)
independent,test,31.png,正常,正常,0.0,True,2,38,2322.2,缺少EXIF且图像结构异常(疑似生成图)
independent,test,32.png,正常,正常,0.0922420030368113,True,2,39,2278.0,缺少EXIF且图像结构异常(疑似生成图)
independent,test,33.png,正常,正常,0.06755835684150105,True,3,39,2002.5,缺少EXIF且图像结构异常(疑似生成图)
independent,test,34.png,正常,无法自动检测,0.0,False,0,38,1525.1,未识别到金额、姓名、时间关键区域，无法自动检测
independent,train,46.jpg,正常,正常,0.3898075525439497,True,2,24,653.2,存在局部边缘拼接/像素涂抹痕迹
independent,train,no (3).jpg,正常,正常,0.09090464523181098,True,2,59,1618.1,未检出明显篡改痕迹
independent,train,p (24).jpg,篡改,篡改,0.6696664077816297,True,3,22,709.5,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,no (11).jpg,正常,正常,0.16469691945176704,True,4,54,1810.0,未检出明显篡改痕迹
independent,validation,p (12).jpg,篡改,篡改,0.790182317841434,True,6,39,1407.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (14).jpg,篡改,篡改,0.66,True,1,4,239.9,全局UI布局异常；局部字体风格异常
independent,train,p (43).jpg,篡改,篡改,0.66,True,1,4,222.7,全局UI布局异常；局部字体风格异常
independent,train,44.jpg,正常,正常,0.4682042910463295,True,2,30,711.2,存在局部边缘拼接/像素涂抹痕迹
independent,train,39.png,正常,正常,0.2379370068789001,True,3,51,1511.3,缺少EXIF且图像结构异常(疑似生成图)；文件体积/像素比异常(疑似工具导出)
independent,validation,14.jpg,正常,正常,0.4497157021237472,True,6,31,1232.4,存在局部边缘拼接/像素涂抹痕迹
independent,validation,15.jpg,正常,正常,0.4381658184412447,True,5,31,1055.8,存在局部边缘拼接/像素涂抹痕迹
independent,validation,9.jpg,正常,正常,0.4860172750286159,True,5,31,1119.9,存在局部边缘拼接/像素涂抹痕迹
